amplitude,frequency,duration,energy,rms,rise_time,counts,variance
0.00045667926,132812.49999999677,0.0001904,445.2587518770157,1.6261388630907355e-05,4.5e-05,17,47
0.00024051775,128906.24999999686,0.0002,166.77016135888175,1.6261388630907355e-05,7.19e-05,15,20
0.00020702794,133789.06249999674,0.00026740000000000005,93.01318301729222,1.9294187492131794e-05,4.86e-05,4,12
0.00022833963,131835.9374999968,0.0001207,145.4885537691798,1.9294187492131794e-05,5.6300000000000006e-05,8,18
0.00015527096,146484.3749999999,7.3e-05,57.94129837239113,1.9294187492131794e-05,3.4000000000000005e-06,3,8
0.00021920605,145507.81249999645,7.26e-05,108.11078160006655,1.9643358413654344e-05,6.170000000000001e-05,6,13
0.00015831548,41015.624999999,1.46e-05,30.55048385125454,1.960345316548034e-05,1.1e-05,3,6
0.00031358644,145507.81249999645,0.0003934,398.58605712266524,1.7348806643649012e-05,4.01e-05,23,41
0.00024965135,134765.6249999967,0.0003467,184.07289175823394,1.7348806643649012e-05,4.2000000000000004e-06,11,22
0.00014613738,132812.50000000038,4.4800000000000005e-05,64.57291484221302,1.7348806643649012e-05,3.39e-05,3,10
0.00029227475,131835.9374999968,0.00010630000000000001,175.67948712373382,1.7628143380867053e-05,5.61e-05,11,28
0.00030140832,132812.49999999677,0.0004203,384.3033098975847,1.8486106216608177e-05,6.290000000000001e-05,25,42
0.0002983638,129882.81249999684,0.0002124,165.67269348547774,1.8486106216608177e-05,0.0001399,11,28
0.0001918053,130859.37499999681,4.77e-05,60.30391312114074,1.602195714186332e-05,2.2100000000000002e-05,5,8
0.0001826717,130859.37499999681,4.4e-06,26.198337815786694,1.602195714186332e-05,1.1e-06,3,7
0.0001826717,131835.9374999968,0.00021520000000000003,129.2375016208109,1.602195714186332e-05,0.00021160000000000002,3,17
0.000264874,128906.24999999686,0.00012859999999999998,126.40447728950002,1.602195714186332e-05,6.220000000000001e-05,8,17
0.00021616153,132812.49999999677,0.0003645,180.81561823295598,1.6849991041473937e-05,7.47e-05,10,21
0.00020702794,131835.93749999857,7.65e-05,80.24140064055284,1.6849991041473937e-05,6.6e-06,6,21
0.00024356227,27343.74999999989,0.0004778,344.6541314583899,1.6849991041473937e-05,0.0002743,13,37
0.00048712455,132812.49999999677,0.0001419,652.9487073514962,1.6849991041473937e-05,3.8900000000000004e-05,20,77
0.00054192607,128906.25000000036,0.0002945,598.1969249861855,1.6849991041473937e-05,9.010000000000001e-05,25,63
0.0004475457,133789.06249999674,0.000112,129.54903789805,1.6849991041473937e-05,4.35e-05,7,55
0.00028314115,128906.24999999686,0.0002853,226.06494164744228,1.6849991041473937e-05,0.00010290000000000001,17,26
0.00020702794,140624.99999999657,6.55e-05,78.8392556641185,1.99925293351769e-05,3.7e-05,6,11
0.00015527096,146484.37499999645,6.77e-05,77.3126259449492,2.00224582713074e-05,3.34e-05,4,10
0.00045363474,132812.50000000038,0.00017030000000000002,507.43948336814674,2.00224582713074e-05,5.3400000000000004e-05,20,52
0.00031663096,131835.9374999968,0.0003861,442.5650429353777,1.7039540970300467e-05,3.990000000000001e-05,25,46
0.00024051775,133789.06249999674,0.0003908,215.21103999440246,1.7298925083431505e-05,1.09e-05,14,25
0.00017353812,135742.1874999967,3.54e-05,59.01448106143437,1.7298925083431505e-05,2.4400000000000004e-05,3,9
0.00021616153,132812.49999999677,7.95e-05,118.57676914413712,1.7508427636345035e-05,6.9e-06,8,24
0.00029531927,134765.6249999967,0.000284,340.8946551511776,1.8486106216608177e-05,1.4200000000000001e-05,27,41
0.00027400756,129882.81249999684,0.00024670000000000003,181.39419884662053,1.8486106216608177e-05,0.0001787,12,29
0.00017353812,130859.37499999681,4.5e-05,60.90149550119443,1.581245458894979e-05,2.5200000000000003e-05,4,8
0.0001918053,132812.49999999677,3.65e-05,39.12148548283593,1.581245458894979e-05,1.7199999999999998e-05,5,7
0.00022225059,132812.49999999677,0.00031140000000000003,182.30980591194864,1.581245458894979e-05,0.0001055,7,22
0.00024965135,25390.62499999938,8.04e-05,103.15428670187958,1.581245458894979e-05,6.55e-05,7,15
0.00042318946,130859.37500000036,0.0001085,64.54575622000802,1.581245458894979e-05,0.000108,3,58
0.00059063855,130859.37499999681,0.0004295,1375.8072305373494,1.581245458894979e-05,9.600000000000001e-06,33,137
0.0003622989,130859.37499999681,0.00020420000000000003,245.3336596814988,1.758823813269305e-05,2.3100000000000002e-05,12,28
0.0001918053,147460.9375000004,0.00038510000000000004,152.38925378938106,1.758823813269305e-05,7.110000000000001e-05,10,18
0.0001918053,143554.6874999999,5.71e-05,77.91437944445418,1.758823813269305e-05,1.05e-05,6,21
0.00022529511,27343.74999999989,0.00043970000000000006,388.49204074210564,1.758823813269305e-05,0.0001342,11,41
0.000535837,133789.06249999674,0.00014120000000000002,685.9072248077476,1.758823813269305e-05,3.88e-05,20,82
0.00046276834,130859.37499999681,0.0002632,458.5875177378163,1.758823813269305e-05,6.280000000000001e-05,20,49
0.00047799098,139648.4374999966,7.880000000000002e-05,63.25020651843976,1.758823813269305e-05,2.8700000000000003e-05,4,60
0.00027096304,128906.24999999686,0.0001442,177.18906159892452,1.758823813269305e-05,5.3700000000000004e-05,14,22
0.0001704936,139648.4374999966,7.7e-05,81.81882532548441,2.0212008200133927e-05,4.9300000000000006e-05,4,11
0.00017658266,133789.06249999674,5.05e-05,66.46873497859247,1.9733145222045857e-05,7.600000000000001e-06,3,9
0.0004810355,132812.50000000038,0.0001694,528.3820252922311,1.9733145222045857e-05,5.2400000000000007e-05,19,54
0.00031663096,132812.49999999677,5.0400000000000005e-05,150.04387966769676,1.7039540970300467e-05,4e-05,7,43
0.00025269587,147460.93749999642,0.0003461,220.91842908536358,1.7707953877215064e-05,4.41e-05,14,24
0.00022833963,133789.06249999674,0.0001104,129.3433553633301,1.7767811749476073e-05,5.6200000000000004e-05,10,21
0.00029531927,133789.06249999674,0.0004858,424.688366499529,1.7767811749476073e-05,1.4400000000000001e-05,26,44
0.00023747323,130859.37499999681,0.00024310000000000003,169.33549251296367,1.9224353307827287e-05,0.0001715,12,20
0.00027400756,128906.25000000036,6.7e-05,126.38788550323825,1.9224353307827287e-05,9e-06,8,18
0.00014309284,131835.9374999968,5.5e-06,23.36169851428471,1.616162551047234e-05,3.2000000000000003e-06,3,5
0.00019789435,131835.9374999968,0.0002976,149.73039686804708,1.616162551047234e-05,5.8200000000000005e-05,3,18
0.00023442869,25390.62499999938,0.0001132,112.31619692239262,1.616162551047234e-05,6.230000000000001e-05,9,16
